Regions,Intervention,Description,Date of announcement,Effective_date
Molise,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Molise,Social distancing,,08.03.2020,08.03.2020
Molise,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Molise,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Piemonte,School closures,All schools and universities,23.02.2020,24.02.2020
Piemonte,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Piemonte,Social distancing,,08.03.2020,08.03.2020
Piemonte,Public events,"concerts, sporting events, cinemas, theatres",25.02.2020,25.02.2020
Piemonte,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Puglia,School closures,All schools and universities,04.03.2020,05.03.2020
Puglia,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Puglia,Social distancing,,08.03.2020,08.03.2020
Puglia,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Puglia,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Sardegna,School closures,All schools and universities,04.03.2020,05.03.2020
Sardegna,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Sardegna,Social distancing,,08.03.2020,08.03.2020
Sardegna,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Sardegna,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Sicilia,School closures,All schools and universities,04.03.2020,05.03.2020
Sicilia,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Sicilia,Social distancing,,08.03.2020,08.03.2020
Sicilia,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Sicilia,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Toscana,School closures,All schools and universities,04.03.2020,05.03.2020
Toscana,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Toscana,Social distancing,,08.03.2020,08.03.2020
Toscana,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Toscana,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
P.A._Trento,School closures,All schools and universities,04.03.2020,05.03.2020
P.A._Trento,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
P.A._Trento,Social distancing,,08.03.2020,08.03.2020
P.A._Trento,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
P.A._Trento,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Umbria,School closures,All schools and universities,04.03.2020,05.03.2020
Umbria,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Umbria,Social distancing,,08.03.2020,08.03.2020
Umbria,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Umbria,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Valle_d'Aosta,School closures,All schools and universities,04.03.2020,05.03.2020
Valle_d'Aosta,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Valle_d'Aosta,Social distancing,,08.03.2020,08.03.2020
Valle_d'Aosta,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Valle_d'Aosta,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Veneto,School closures,All schools and universities,23.02.2020,24.02.2020
Veneto,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Veneto,Social distancing,,08.03.2020,08.03.2020
Veneto,Public events,"concerts, sporting events, cinemas, theatres",23.02.2020,23.02.2020
Veneto,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
P.A._Bolzano,School closures,All schools and universities,04.03.2020,05.03.2020
P.A._Bolzano,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
P.A._Bolzano,Social distancing,,08.03.2020,08.03.2020
P.A._Bolzano,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
P.A._Bolzano,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
