geography,age,dt,norm_visits
NH,18_24,01/07/2020,"411,604"
NV,18_24,01/03/2020,"1,267,400"
DC,18_24,02/02/2020,"301,276"
NH,18_24,18/07/2020,"506,795"
AR,65_plus,26/03/2020,"924,109"
WV,65_plus,08/03/2020,"671,491"
AR,18_24,23/04/2020,"702,414"
PA,45_54,15/04/2020,"4,136,538"
PA,25_34,18/02/2020,"4,388,816"
MI,55_64,18/06/2020,"3,212,405"
FL,55_64,07/04/2020,"4,617,068"
PA,45_54,02/08/2020,"4,514,621"
FL,25_34,07/04/2020,"5,272,860"
FL,55_64,03/05/2020,"4,837,067"
IA,35_44,24/08/2020,"1,179,002"
NC,25_34,06/09/2020,"3,978,413"
SC,55_64,03/06/2020,"1,688,182"
KY,35_44,16/05/2020,"1,517,121"
TN,25_34,27/03/2020,"2,243,895"
PA,55_64,07/07/2020,"3,832,939"
MA,45_54,14/07/2020,"2,767,981"
LA,35_44,15/09/2020,"1,724,544"
OK,25_34,05/08/2020,"1,658,800"
WY,65_plus,10/04/2020,"158,206"
MN,45_54,19/07/2020,"1,882,765"
WA,45_54,18/02/2020,"2,818,044"
WA,65_plus,01/05/2020,"1,699,349"
LA,25_34,10/09/2020,"2,175,515"
NC,55_64,01/05/2020,"2,842,831"
SC,55_64,08/08/2020,"1,897,881"
AR,55_64,21/05/2020,"933,241"
IN,65_plus,10/08/2020,"1,979,010"
AR,45_54,07/07/2020,"1,121,735"
ID,55_64,06/07/2020,"509,363"
MN,25_34,03/06/2020,"1,816,678"
VA,18_24,28/03/2020,"1,827,655"
MN,18_24,14/03/2020,"1,448,072"
NE,55_64,07/09/2020,"564,928"
KY,65_plus,25/04/2020,"1,035,806"
ND,65_plus,15/07/2020,"274,991"
CT,55_64,20/05/2020,"946,754"
CO,55_64,24/04/2020,"1,254,788"
MT,35_44,24/08/2020,"403,350"
KY,25_34,03/03/2020,"1,764,538"
MS,45_54,04/04/2020,"870,333"
NE,18_24,04/03/2020,"581,753"
DE,35_44,09/07/2020,"389,054"
DE,35_44,04/07/2020,"413,210"
IL,65_plus,21/02/2020,"4,202,272"
OK,18_24,26/08/2020,"1,276,855"
KY,65_plus,07/08/2020,"1,601,477"
OH,18_24,24/03/2020,"1,824,596"
MI,18_24,12/06/2020,"2,665,964"
OR,65_plus,08/03/2020,"1,339,289"
ME,65_plus,30/06/2020,"542,470"
RI,65_plus,21/06/2020,"399,450"
MT,25_34,06/04/2020,"220,592"
ID,25_34,17/05/2020,"539,944"
SD,65_plus,28/03/2020,"204,554"
ND,45_54,27/05/2020,"271,572"
UT,65_plus,27/04/2020,"584,153"
AL,65_plus,25/04/2020,"1,359,148"
NE,65_plus,14/02/2020,"617,441"
RI,25_34,20/07/2020,"378,515"
WV,18_24,09/03/2020,"511,432"
IN,18_24,24/09/2020,"207,898"
NV,65_plus,05/05/2020,"685,184"
WV,65_plus,07/08/2020,"800,369"
ME,25_34,01/05/2020,"320,668"
WY,65_plus,27/08/2020,"324,634"
AK,65_plus,26/02/2020,"175,989"
WA,18_24,07/06/2020,"1,505,558"
NM,18_24,22/09/2020,"590,579"
ND,18_24,06/04/2020,"158,271"
ID,65_plus,11/05/2020,"371,031"
AK,18_24,03/08/2020,"274,036"
AK,18_24,24/02/2020,"256,431"
RI,65_plus,11/02/2020,"346,189"
VT,25_34,02/09/2020,"214,459"
VT,18_24,23/05/2020,"190,272"
UT,65_plus,11/06/2020,"709,711"
MT,18_24,25/04/2020,"241,485"
HI,65_plus,19/06/2020,"538,916"
VT,25_34,30/03/2020,"138,420"
MI,25_34,22/05/2020,"2,911,068"
WI,55_64,20/07/2020,"1,594,110"
WI,55_64,18/05/2020,"1,361,419"
AZ,65_plus,30/06/2020,"1,879,735"
NJ,45_54,06/09/2020,"4,283,556"
VA,45_54,15/03/2020,"2,991,922"
AZ,35_44,25/07/2020,"2,559,693"
PA,55_64,01/08/2020,"4,266,906"
MA,45_54,21/08/2020,"3,324,101"
VA,25_34,15/08/2020,"3,697,250"
MS,35_44,22/05/2020,"1,146,050"
NY,18_24,20/09/2020,"6,613,946"
OH,18_24,24/04/2020,"2,385,706"
IL,25_34,27/06/2020,"4,894,825"
NY,65_plus,26/06/2020,"6,336,179"
TN,65_plus,12/09/2020,"2,410,815"
NC,45_54,31/08/2020,"4,004,301"
NC,45_54,14/09/2020,"4,059,886"
NC,45_54,22/07/2020,"3,934,957"
IA,55_64,25/06/2020,"914,581"
KY,55_64,28/02/2020,"1,673,679"
FL,45_54,13/02/2020,"10,591,757"
OK,45_54,26/07/2020,"1,327,295"
MS,45_54,25/02/2020,"1,226,171"
VA,45_54,18/05/2020,"2,777,973"
MO,55_64,18/04/2020,"1,578,183"
MO,55_64,03/03/2020,"1,993,115"
IA,25_34,22/02/2020,"1,266,111"
OK,18_24,23/02/2020,"1,175,024"
TX,45_54,06/04/2020,"7,400,737"
TX,45_54,15/04/2020,"8,071,940"
CA,18_24,05/06/2020,"10,153,065"
CA,18_24,14/04/2020,"8,081,133"
CA,18_24,03/09/2020,"11,102,408"
TN,55_64,30/03/2020,"1,713,372"
NC,55_64,18/03/2020,"2,749,794"
SC,18_24,13/06/2020,"1,643,262"
FL,45_54,04/03/2020,"10,061,674"
FL,45_54,15/02/2020,"11,671,062"
GA,45_54,04/09/2020,"4,836,217"
NY,18_24,30/08/2020,"6,636,442"
NY,18_24,09/09/2020,"6,968,464"
NJ,55_64,06/03/2020,"2,965,686"
VA,55_64,19/09/2020,"3,166,329"
IN,45_54,29/03/2020,"1,677,542"
CO,25_34,01/02/2020,"1,872,856"
CO,25_34,06/03/2020,"2,557,513"
TX,55_64,31/05/2020,"5,908,439"
DE,25_34,17/08/2020,"397,149"
CT,45_54,13/05/2020,"1,363,142"
WI,45_54,14/09/2020,"2,376,943"
CA,35_44,07/09/2020,"15,007,859"
PA,18_24,06/08/2020,"3,661,344"
IN,25_34,29/02/2020,"2,846,659"
VA,25_34,29/08/2020,"3,858,056"
MI,55_64,04/04/2020,"2,030,181"
OH,25_34,11/04/2020,"3,410,320"
NC,65_plus,13/05/2020,"2,687,984"
IN,55_64,25/08/2020,"2,110,265"
AR,25_34,11/04/2020,"982,726"
GA,35_44,06/06/2020,"4,575,304"
MA,45_54,22/09/2020,"3,180,058"
CT,25_34,14/08/2020,"1,374,600"
MI,18_24,04/03/2020,"2,586,087"
SD,35_44,27/08/2020,"354,099"
MI,35_44,13/08/2020,"4,314,342"
TX,18_24,20/04/2020,"5,669,458"
TX,18_24,24/08/2020,"7,653,356"
NM,25_34,03/04/2020,"656,007"
