"","school","cumulative_students","date","start","number_students","type","loc"
"3751","HIGHLAND LAKES ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",584,"Public","FL"
"3752","HIGHLANDS CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",500,"Private","FL"
"3753","HIGHLANDS CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",70,"Private","FL"
"3754","HIGHLANDS CHRISTIAN ACADEMY",5,"2020-12-05","2020-09-06",500,"Private","FL"
"3755","HIGHLANDS CHRISTIAN ACADEMY",5,"2020-12-05","2020-09-06",70,"Private","FL"
"3756","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",624,"Public","FL"
"3757","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",856,"Public","FL"
"3758","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",585,"Public","FL"
"3759","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",453,"Public","FL"
"3760","HIGHLANDS ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",624,"Public","FL"
"3761","HIGHLANDS ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",856,"Public","FL"
"3762","HIGHLANDS ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",585,"Public","FL"
"3763","HIGHLANDS ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",453,"Public","FL"
"3764","HIGHLANDS ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",624,"Public","FL"
"3765","HIGHLANDS ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",856,"Public","FL"
"3766","HIGHLANDS ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",585,"Public","FL"
"3767","HIGHLANDS ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",453,"Public","FL"
"3768","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",624,"Public","FL"
"3769","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",856,"Public","FL"
"3770","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",585,"Public","FL"
"3771","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",453,"Public","FL"
"3772","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",624,"Public","FL"
"3773","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",856,"Public","FL"
"3774","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",585,"Public","FL"
"3775","HIGHLANDS ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",453,"Public","FL"
"3776","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",624,"Public","FL"
"3777","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",856,"Public","FL"
"3778","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",585,"Public","FL"
"3779","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",453,"Public","FL"
"3780","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",624,"Public","FL"
"3781","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",856,"Public","FL"
"3782","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",585,"Public","FL"
"3783","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",453,"Public","FL"
"3784","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",624,"Public","FL"
"3785","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",856,"Public","FL"
"3786","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",585,"Public","FL"
"3787","HIGHLANDS ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",453,"Public","FL"
"3788","HIGHLANDS ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",624,"Public","FL"
"3789","HIGHLANDS ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",856,"Public","FL"
"3790","HIGHLANDS ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",585,"Public","FL"
"3791","HIGHLANDS ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",453,"Public","FL"
"3792","HIGHLANDS ELEMENTARY SCHOOL",8,"2020-12-05","2020-09-06",624,"Public","FL"
"3793","HIGHLANDS ELEMENTARY SCHOOL",8,"2020-12-05","2020-09-06",856,"Public","FL"
"3794","HIGHLANDS ELEMENTARY SCHOOL",8,"2020-12-05","2020-09-06",585,"Public","FL"
"3795","HIGHLANDS ELEMENTARY SCHOOL",8,"2020-12-05","2020-09-06",453,"Public","FL"
"3796","HIGHLANDS ELEMENTARY SCHOOL",11,"2020-12-05","2020-09-06",624,"Public","FL"
"3797","HIGHLANDS ELEMENTARY SCHOOL",11,"2020-12-05","2020-09-06",856,"Public","FL"
"3798","HIGHLANDS ELEMENTARY SCHOOL",11,"2020-12-05","2020-09-06",585,"Public","FL"
"3799","HIGHLANDS ELEMENTARY SCHOOL",11,"2020-12-05","2020-09-06",453,"Public","FL"
"3800","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",624,"Public","FL"
"3801","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",856,"Public","FL"
"3802","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",585,"Public","FL"
"3803","HIGHLANDS ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",453,"Public","FL"
"3804","HIGHLANDS GROVE ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",855,"Public","FL"
"3805","HIGHLANDS GROVE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",855,"Public","FL"
"3806","HIGHLANDS GROVE ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",855,"Public","FL"
"3807","HIGHLANDS MIDDLE SCHOOL",7,"2020-10-24","2020-09-06",906,"Public","FL"
"3808","HIGHLANDS MIDDLE SCHOOL",9,"2020-11-21","2020-09-06",906,"Public","FL"
"3809","HIGHLANDS MIDDLE SCHOOL",16,"2020-12-05","2020-09-06",906,"Public","FL"
"3810","HILAND PARK ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",736,"Public","FL"
"3811","HILAND PARK ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",736,"Public","FL"
"3812","HILAND PARK ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",736,"Public","FL"
"3813","HILL MIDDLE SCHOOL",2,"2020-10-24","2020-09-06",999,"Public","FL"
"3814","HILL MIDDLE SCHOOL",5,"2020-11-21","2020-09-06",999,"Public","FL"
"3815","HILL MIDDLE SCHOOL",9,"2020-12-05","2020-09-06",999,"Public","FL"
"3816","HILL-GUSTAT MIDDLE SCHOOL",4,"2020-10-24","2020-09-06",717,"Public","FL"
"3817","HILL-GUSTAT MIDDLE SCHOOL",11,"2020-11-21","2020-09-06",717,"Public","FL"
"3818","HILL-GUSTAT MIDDLE SCHOOL",19,"2020-12-05","2020-09-06",717,"Public","FL"
"3819","HILLCREST",0,"2020-10-24","2020-09-06",193,"Public","FL"
"3820","HILLCREST",3,"2020-11-21","2020-09-06",193,"Public","FL"
"3821","HILLCREST",6,"2020-12-05","2020-09-06",193,"Public","FL"
"3822","HILLCREST ACADEMY",7,"2020-10-24","2020-09-06",73,"Private","FL"
"3823","HILLCREST ACADEMY",7,"2020-11-21","2020-09-06",73,"Private","FL"
"3824","HILLCREST ACADEMY",10,"2020-12-05","2020-09-06",73,"Private","FL"
"3825","HILLCREST ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",675,"Public","FL"
"3826","HILLCREST ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",675,"Public","FL"
"3827","HILLCREST ELEMENTARY SCHOOL",6,"2020-12-05","2020-09-06",675,"Public","FL"
"3828","HILLIARD ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",705,"Public","FL"
"3829","HILLIARD ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",705,"Public","FL"
"3830","HILLIARD ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",705,"Public","FL"
"3831","HILLIARD MIDDLE-SENIOR HIGH",3,"2020-10-24","2020-09-06",725,"Public","FL"
"3832","HILLIARD MIDDLE-SENIOR HIGH",7,"2020-11-21","2020-09-06",725,"Public","FL"
"3833","HILLIARD MIDDLE-SENIOR HIGH",12,"2020-12-05","2020-09-06",725,"Public","FL"
"3834","HILLSBOROUGH ACADEMY OF MATH AND SCIENCE",1,"2020-10-24","2020-09-06",801,"Public","FL"
"3835","HILLSBOROUGH ACADEMY OF MATH AND SCIENCE",1,"2020-11-21","2020-09-06",801,"Public","FL"
"3836","HILLSBOROUGH ACADEMY OF MATH AND SCIENCE",3,"2020-12-05","2020-09-06",801,"Public","FL"
"3837","HILLSBOROUGH HIGH SCHOOL",3,"2020-10-24","2020-09-06",1900,"Public","FL"
"3838","HILLSBOROUGH HIGH SCHOOL",3,"2020-11-21","2020-09-06",1900,"Public","FL"
"3839","HILLSBOROUGH HIGH SCHOOL",12,"2020-12-05","2020-09-06",1900,"Public","FL"
"3840","HILLSDALE CHRISTIAN ACADEMY",1,"2020-10-24","2020-09-06",68,"Private","FL"
"3841","HILLSDALE CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",68,"Private","FL"
"3842","HILLSDALE CHRISTIAN ACADEMY",1,"2020-12-05","2020-09-06",68,"Private","FL"
"3843","HILLTOP ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",331,"Public","FL"
"3844","HILLTOP ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",331,"Public","FL"
"3845","HILLTOP ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",331,"Public","FL"
"3846","HIS HOUSE",0,"2020-11-21","2020-09-06",113,"Public","FL"
"3847","HIS HOUSE",1,"2020-12-05","2020-09-06",113,"Public","FL"
"3848","HOBBS MIDDLE SCHOOL",1,"2020-10-24","2020-09-06",740,"Public","FL"
"3849","HOBBS MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",740,"Public","FL"
"3850","HOBBS MIDDLE SCHOOL",8,"2020-12-05","2020-09-06",740,"Public","FL"
"3851","HOBE SOUND CHRISTIAN ACADEMY",1,"2020-10-24","2020-09-06",217,"Private","FL"
"3852","HOBE SOUND CHRISTIAN ACADEMY",2,"2020-11-21","2020-09-06",217,"Private","FL"
"3853","HOBE SOUND CHRISTIAN ACADEMY",2,"2020-12-05","2020-09-06",217,"Private","FL"
"3854","HOBE SOUND ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",607,"Public","FL"
"3855","HOCHBERG PREPARATORY SCHOOL",10,"2020-10-24","2020-09-06",143,"Private","FL"
"3856","HOCHBERG PREPARATORY SCHOOL",10,"2020-11-21","2020-09-06",143,"Private","FL"
"3857","HOCHBERG PREPARATORY SCHOOL",10,"2020-12-05","2020-09-06",143,"Private","FL"
"3858","HOGAN-SPRING GLEN ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",363,"Public","FL"
"3859","HOGAN-SPRING GLEN ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",363,"Public","FL"
"3860","HOGAN-SPRING GLEN ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",363,"Public","FL"
"3861","HOLIDAY HILL ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",565,"Public","FL"
"3862","HOLIDAY HILL ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",565,"Public","FL"
"3863","HOLIDAY HILL ELEMENTARY SCHOOL",3,"2020-12-05","2020-09-06",565,"Public","FL"
"3864","HOLLEY-NAVARRE INTERMEDIATE",2,"2020-10-24","2020-09-06",916,"Public","FL"
"3865","HOLLEY-NAVARRE INTERMEDIATE",2,"2020-11-21","2020-09-06",916,"Public","FL"
"3866","HOLLEY-NAVARRE INTERMEDIATE",10,"2020-12-05","2020-09-06",916,"Public","FL"
"3867","HOLLEY-NAVARRE MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",991,"Public","FL"
"3868","HOLLEY-NAVARRE MIDDLE SCHOOL",14,"2020-12-05","2020-09-06",991,"Public","FL"
"3869","HOLLEY-NAVARRE MIDDLE SCHOOL",1,"2020-12-05","2020-09-06",991,"Public","FL"
"3870","HOLLEY-NAVARRE PRIMARY",0,"2020-10-24","2020-09-06",886,"Public","FL"
"3871","HOLLEY-NAVARRE PRIMARY",0,"2020-11-21","2020-09-06",886,"Public","FL"
"3872","HOLLEY-NAVARRE PRIMARY",5,"2020-12-05","2020-09-06",886,"Public","FL"
"3873","HOLLY HILL SCHOOL",0,"2020-10-24","2020-09-06",1083,"Public","FL"
"3874","HOLLY HILL SCHOOL",1,"2020-11-21","2020-09-06",1083,"Public","FL"
"3875","HOLLY HILL SCHOOL",4,"2020-12-05","2020-09-06",1083,"Public","FL"
"3876","HOLLYWOOD ACADEMY OF ARTS & SCIENCE",1,"2020-10-24","2020-09-06",1110,"Public","FL"
"3877","HOLLYWOOD ACADEMY OF ARTS & SCIENCE",19,"2020-11-21","2020-09-06",1110,"Public","FL"
"3878","HOLLYWOOD ACADEMY OF ARTS & SCIENCE",23,"2020-12-05","2020-09-06",1110,"Public","FL"
"3879","HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL",0,"2020-11-21","2020-09-06",445,"Public","FL"
"3880","HOLLYWOOD HILLS ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",753,"Public","FL"
"3881","HOLLYWOOD HILLS ELEMENTARY SCHOOL",10,"2020-12-05","2020-09-06",753,"Public","FL"
"3882","HOLLYWOOD HILLS HIGH SCHOOL",4,"2020-11-21","2020-09-06",1912,"Public","FL"
"3883","HOLLYWOOD HILLS HIGH SCHOOL",4,"2020-12-05","2020-09-06",1912,"Public","FL"
"3884","HOLLYWOOD PARK ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",506,"Public","FL"
"3885","HOLLYWOOD PARK ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",506,"Public","FL"
"3886","HOLMES COUNTY HIGH SCHOOL",4,"2020-10-24","2020-09-06",474,"Public","FL"
"3887","HOLMES COUNTY HIGH SCHOOL",7,"2020-11-21","2020-09-06",474,"Public","FL"
"3888","HOLMES COUNTY HIGH SCHOOL",13,"2020-12-05","2020-09-06",474,"Public","FL"
"3889","HOLY CROSS LUTHERAN ACADEMY",0,"2020-10-24","2020-09-06",287,"Private","FL"
"3890","HOLY CROSS LUTHERAN ACADEMY",0,"2020-11-21","2020-09-06",287,"Private","FL"
"3891","HOLY CROSS LUTHERAN ACADEMY",2,"2020-12-05","2020-09-06",287,"Private","FL"
"3892","HOLY CROSS LUTHERAN SCHOOL",2,"2020-12-05","2020-09-06",345,"Private","FL"
"3893","HOLY FAMILY CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",187,"Private","FL"
"3894","HOLY FAMILY CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",227,"Private","FL"
"3895","HOLY FAMILY CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",361,"Private","FL"
"3896","HOLY FAMILY CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",580,"Private","FL"
"3897","HOLY FAMILY CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",187,"Private","FL"
"3898","HOLY FAMILY CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",227,"Private","FL"
"3899","HOLY FAMILY CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",361,"Private","FL"
"3900","HOLY FAMILY CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",580,"Private","FL"
"3901","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",187,"Private","FL"
"3902","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",227,"Private","FL"
"3903","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",361,"Private","FL"
"3904","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",580,"Private","FL"
"3905","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",187,"Private","FL"
"3906","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",227,"Private","FL"
"3907","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",361,"Private","FL"
"3908","HOLY FAMILY CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",580,"Private","FL"
"3909","HOLY REDEEMER CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",380,"Private","FL"
"3910","HOLY REDEEMER CATHOLIC SCHOOL",1,"2020-11-21","2020-09-06",380,"Private","FL"
"3911","HOLY REDEEMER CATHOLIC SCHOOL",4,"2020-12-05","2020-09-06",380,"Private","FL"
"3912","HOLY TRINITY EPISCOPAL ACADEMY",1,"2020-11-21","2020-09-06",800,"Private","FL"
"3913","HOLY TRINITY EPISCOPAL ACADEMY",1,"2020-11-21","2020-09-06",259,"Private","FL"
"3914","HOLY TRINITY EPISCOPAL ACADEMY",1,"2020-12-05","2020-09-06",800,"Private","FL"
"3915","HOLY TRINITY EPISCOPAL ACADEMY",1,"2020-12-05","2020-09-06",259,"Private","FL"
"3916","HOMESTEAD SENIOR HIGH SCHOOL",1,"2020-11-21","2020-09-06",2050,"Public","FL"
"3917","HOMESTEAD SENIOR HIGH SCHOOL",3,"2020-12-05","2020-09-06",2050,"Public","FL"
"3918","HOMOSASSA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",403,"Public","FL"
"3919","HOMOSASSA ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",403,"Public","FL"
"3920","HOPE CHARTER",1,"2020-11-21","2020-09-06",437,"Public","FL"
"3921","HOPE CHARTER",2,"2020-12-05","2020-09-06",437,"Public","FL"
"3922","HOPE CHRISTIAN ACADEMY",0,"2020-10-24","2020-09-06",76,"Private","FL"
"3923","HOPE CHRISTIAN ACADEMY",0,"2020-10-24","2020-09-06",189,"Private","FL"
"3924","HOPE CHRISTIAN ACADEMY",0,"2020-11-21","2020-09-06",76,"Private","FL"
"3925","HOPE CHRISTIAN ACADEMY",0,"2020-11-21","2020-09-06",189,"Private","FL"
"3926","HOPE CHRISTIAN ACADEMY",3,"2020-12-05","2020-09-06",76,"Private","FL"
"3927","HOPE CHRISTIAN ACADEMY",3,"2020-12-05","2020-09-06",189,"Private","FL"
"3928","HOPE CHRISTIAN ACADEMY",2,"2020-12-05","2020-09-06",76,"Private","FL"
"3929","HOPE CHRISTIAN ACADEMY",2,"2020-12-05","2020-09-06",189,"Private","FL"
"3930","HOPE RANCH LEARNING ACADEMY",1,"2020-11-21","2020-09-06",64,"Private","FL"
"3931","HOPE RANCH LEARNING ACADEMY",1,"2020-12-05","2020-09-06",64,"Private","FL"
"3932","HOPE SCHOOL",0,"2020-10-24","2020-09-06",115,"Public","FL"
"3933","HOPE SCHOOL",0,"2020-11-21","2020-09-06",115,"Public","FL"
"3934","HOPE SCHOOL",4,"2020-12-05","2020-09-06",115,"Public","FL"
"3935","HORACE O'BRYANT SCHOOL",3,"2020-10-24","2020-09-06",1100,"Public","FL"
"3936","HORACE O'BRYANT SCHOOL",5,"2020-11-21","2020-09-06",1100,"Public","FL"
"3937","HORACE O'BRYANT SCHOOL",11,"2020-12-05","2020-09-06",1100,"Public","FL"
"3938","HORIZON ACADEMY AT MARION OAKS",1,"2020-10-24","2020-09-06",833,"Public","FL"
"3939","HORIZON ACADEMY AT MARION OAKS",3,"2020-11-21","2020-09-06",833,"Public","FL"
"3940","HORIZON ACADEMY AT MARION OAKS",9,"2020-12-05","2020-09-06",833,"Public","FL"
"3941","HORIZON ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",802,"Public","FL"
"3942","HORIZON ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",592,"Public","FL"
"3943","HORIZON ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",802,"Public","FL"
"3944","HORIZON ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",592,"Public","FL"
"3945","HORIZON ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",802,"Public","FL"
"3946","HORIZON ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",592,"Public","FL"
"3947","HORIZON MIDDLE SCHOOL",2,"2020-10-24","2020-09-06",1336,"Public","FL"
"3948","HORIZON MIDDLE SCHOOL",4,"2020-11-21","2020-09-06",1336,"Public","FL"
"3949","HORIZON MIDDLE SCHOOL",10,"2020-12-05","2020-09-06",1336,"Public","FL"
"3950","HORIZONS ACADEMY",1,"2020-12-05","2020-09-06",283,"Public","FL"
"3951","HORIZONS ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",1382,"Public","FL"
"3952","HORIZONS ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",1382,"Public","FL"
"3953","HORIZONS ELEMENTARY SCHOOL",12,"2020-12-05","2020-09-06",1382,"Public","FL"
"3954","HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL",5,"2020-10-24","2020-09-06",359,"Public","FL"
"3955","HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL",6,"2020-11-21","2020-09-06",359,"Public","FL"
"3956","HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL",12,"2020-12-05","2020-09-06",359,"Public","FL"
"3957","HOWARD D. MCMILLAN MIDDLE SCHOOL",2,"2020-10-24","2020-09-06",1015,"Public","FL"
"3958","HOWARD D. MCMILLAN MIDDLE SCHOOL",5,"2020-11-21","2020-09-06",1015,"Public","FL"
"3959","HOWARD D. MCMILLAN MIDDLE SCHOOL",6,"2020-12-05","2020-09-06",1015,"Public","FL"
"3960","HOWARD DRIVE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",514,"Public","FL"
"3961","HOWARD DRIVE ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",514,"Public","FL"
"3962","HOWARD MIDDLE",1,"2020-10-24","2020-09-06",1014,"Public","FL"
"3963","HOWARD MIDDLE",2,"2020-11-21","2020-09-06",1014,"Public","FL"
"3964","HOWARD MIDDLE",4,"2020-12-05","2020-09-06",1014,"Public","FL"
"3965","HOWARD MIDDLE SCHOOL",1,"2020-10-24","2020-09-06",1060,"Public","FL"
"3966","HOWARD MIDDLE SCHOOL",3,"2020-11-21","2020-09-06",1060,"Public","FL"
"3967","HOWARD MIDDLE SCHOOL",6,"2020-12-05","2020-09-06",1060,"Public","FL"
"3968","HOWARD W. BISHOP MIDDLE SCHOOL",9,"2020-10-24","2020-09-06",692,"Public","FL"
"3969","HOWARD W. BISHOP MIDDLE SCHOOL",9,"2020-11-21","2020-09-06",692,"Public","FL"
"3970","HOWARD W. BISHOP MIDDLE SCHOOL",11,"2020-12-05","2020-09-06",692,"Public","FL"
"3971","HOWELL L. WATKINS MIDDLE SCHOOL",1,"2020-11-21","2020-09-06",912,"Public","FL"
"3972","HOWELL L. WATKINS MIDDLE SCHOOL",4,"2020-12-05","2020-09-06",912,"Public","FL"
"3973","HUBERT O. SIBLEY K-8 ACADEMY",0,"2020-11-21","2020-09-06",752,"Public","FL"
"3974","HUBERT O. SIBLEY K-8 ACADEMY",1,"2020-12-05","2020-09-06",752,"Public","FL"
"3975","HUDSON HIGH SCHOOL",4,"2020-10-24","2020-09-06",1148,"Public","FL"
"3976","HUDSON HIGH SCHOOL",5,"2020-11-21","2020-09-06",1148,"Public","FL"
"3977","HUDSON HIGH SCHOOL",8,"2020-12-05","2020-09-06",1148,"Public","FL"
"3978","HUDSON MIDDLE SCHOOL",2,"2020-10-24","2020-09-06",674,"Public","FL"
"3979","HUDSON MIDDLE SCHOOL",3,"2020-11-21","2020-09-06",674,"Public","FL"
"3980","HUDSON MIDDLE SCHOOL",5,"2020-12-05","2020-09-06",674,"Public","FL"
"3981","HUNTERS CREEK ELEMENTARY",1,"2020-10-24","2020-09-06",905,"Public","FL"
"3982","HUNTERS CREEK ELEMENTARY",1,"2020-11-21","2020-09-06",905,"Public","FL"
"3983","HUNTERS CREEK ELEMENTARY",1,"2020-12-05","2020-09-06",905,"Public","FL"
"3984","HUNTERS CREEK MIDDLE",1,"2020-11-21","2020-09-06",1341,"Public","FL"
"3985","HUNTERS CREEK MIDDLE",5,"2020-12-05","2020-09-06",1341,"Public","FL"
"3986","HYDE GROVE ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",594,"Public","FL"
"3987","HYDE PARK ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",283,"Public","FL"
"3988","I AM ACADEMY",2,"2020-11-21","2020-09-06",10,"Private","FL"
"3989","I AM ACADEMY",3,"2020-12-05","2020-09-06",10,"Private","FL"
"3990","I PREPARATORY ACADEMY",1,"2020-11-21","2020-09-06",859,"Public","FL"
"3991","I PREPARATORY ACADEMY",1,"2020-12-05","2020-09-06",859,"Public","FL"
"3992","IBCK EDUCATIONAL CENTER",1,"2020-10-24","2020-09-06",622,"Private","FL"
"3993","IBCK EDUCATIONAL CENTER",8,"2020-11-21","2020-09-06",622,"Private","FL"
"3994","IBCK EDUCATIONAL CENTER",12,"2020-12-05","2020-09-06",622,"Private","FL"
"3995","IDA S. BAKER HIGH SCHOOL",7,"2020-10-24","2020-09-06",1809,"Public","FL"
"3996","IDA S. BAKER HIGH SCHOOL",11,"2020-11-21","2020-09-06",1809,"Public","FL"
"3997","IDA S. BAKER HIGH SCHOOL",28,"2020-12-05","2020-09-06",1809,"Public","FL"
"3998","IDYLLWILDE ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",786,"Public","FL"
"3999","IDYLLWILDE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",786,"Public","FL"
"4000","IDYLLWILDE ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",786,"Public","FL"
"4001","IDYLWILD ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",687,"Public","FL"
"4002","IDYLWILD ELEMENTARY SCHOOL",8,"2020-12-05","2020-09-06",687,"Public","FL"
"4003","IMAGINE AT SOUTH VERO",1,"2020-10-24","2020-09-06",891,"Public","FL"
"4004","IMAGINE AT SOUTH VERO",3,"2020-11-21","2020-09-06",891,"Public","FL"
"4005","IMAGINE AT SOUTH VERO",9,"2020-12-05","2020-09-06",891,"Public","FL"
"4006","IMAGINE CHARTER SCHOOL AT NORTH LAUDERDALE ELEMENTARY",1,"2020-11-21","2020-09-06",623,"Public","FL"
"4007","IMAGINE CHARTER SCHOOL AT NORTH MANATEE",1,"2020-10-24","2020-09-06",607,"Public","FL"
"4008","IMAGINE CHARTER SCHOOL AT NORTH MANATEE",1,"2020-11-21","2020-09-06",607,"Public","FL"
"4009","IMAGINE CHARTER SCHOOL AT NORTH MANATEE",3,"2020-12-05","2020-09-06",607,"Public","FL"
"4010","IMAGINE CHARTER SCHOOL AT WESTON",1,"2020-10-24","2020-09-06",938,"Public","FL"
"4011","IMAGINE CHARTER SCHOOL AT WESTON",3,"2020-11-21","2020-09-06",938,"Public","FL"
"4012","IMAGINE CHARTER SCHOOL AT WESTON",9,"2020-12-05","2020-09-06",938,"Public","FL"
"4013","IMAGINE SCHOOL AT LAND O' LAKES",5,"2020-12-05","2020-09-06",803,"Public","FL"
"4014","IMAGINE SCHOOL AT NORTH PORT",2,"2020-11-21","2020-09-06",1186,"Public","FL"
