"","school","cumulative_students","date","start","number_students","type","loc"
"161","ALTAMONTE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",711,"Public","FL"
"162","ALTAMONTE ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",711,"Public","FL"
"163","ALTERNATIVE OUTREACH PROGRAM",1,"2020-12-05","2020-09-06",0,"Public","FL"
"164","ALTHA PUBLIC SCHOOL",1,"2020-10-24","2020-09-06",635,"Public","FL"
"165","ALTHA PUBLIC SCHOOL",5,"2020-11-21","2020-09-06",635,"Public","FL"
"166","ALTHA PUBLIC SCHOOL",13,"2020-12-05","2020-09-06",635,"Public","FL"
"167","ALTURAS ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",366,"Public","FL"
"168","ALTURAS ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",366,"Public","FL"
"169","ALTURAS ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",366,"Public","FL"
"170","AMERICAN SENIOR HIGH SCHOOL",3,"2020-11-21","2020-09-06",2010,"Public","FL"
"171","AMERICAN SENIOR HIGH SCHOOL",5,"2020-12-05","2020-09-06",2010,"Public","FL"
"172","AMIKIDS ORLANDO",1,"2020-10-24","2020-09-06",53,"Public","FL"
"173","AMIKIDS ORLANDO",1,"2020-11-21","2020-09-06",53,"Public","FL"
"174","AMIKIDS ORLANDO",1,"2020-12-05","2020-09-06",53,"Public","FL"
"175","AMOS P. GODBY HIGH SCHOOL",5,"2020-10-24","2020-09-06",1384,"Public","FL"
"176","AMOS P. GODBY HIGH SCHOOL",0,"2020-10-24","2020-09-06",1384,"Public","FL"
"177","AMOS P. GODBY HIGH SCHOOL",5,"2020-11-21","2020-09-06",1384,"Public","FL"
"178","AMOS P. GODBY HIGH SCHOOL",0,"2020-11-21","2020-09-06",1384,"Public","FL"
"179","AMOS P. GODBY HIGH SCHOOL",10,"2020-12-05","2020-09-06",1384,"Public","FL"
"180","AMOS P. GODBY HIGH SCHOOL",1,"2020-12-05","2020-09-06",1384,"Public","FL"
"181","ANCLOTE ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",556,"Public","FL"
"182","ANCLOTE ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",556,"Public","FL"
"183","ANCLOTE ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",556,"Public","FL"
"184","ANCLOTE HIGH SCHOOL",0,"2020-10-24","2020-09-06",1184,"Public","FL"
"185","ANCLOTE HIGH SCHOOL",0,"2020-11-21","2020-09-06",1184,"Public","FL"
"186","ANCLOTE HIGH SCHOOL",5,"2020-12-05","2020-09-06",1184,"Public","FL"
"187","ANDOVER ELEMENTARY",1,"2020-10-24","2020-09-06",835,"Public","FL"
"188","ANDOVER ELEMENTARY",2,"2020-11-21","2020-09-06",835,"Public","FL"
"189","ANDOVER ELEMENTARY",3,"2020-12-05","2020-09-06",835,"Public","FL"
"190","ANDREW JACKSON HIGH SCHOOL",4,"2020-10-24","2020-09-06",659,"Public","FL"
"191","ANDREW JACKSON HIGH SCHOOL",8,"2020-11-21","2020-09-06",659,"Public","FL"
"192","ANDREW JACKSON HIGH SCHOOL",11,"2020-12-05","2020-09-06",659,"Public","FL"
"193","ANDREW JACKSON MIDDLE SCHOOL",2,"2020-10-24","2020-09-06",549,"Public","FL"
"194","ANDREW JACKSON MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",549,"Public","FL"
"195","ANDREW JACKSON MIDDLE SCHOOL",3,"2020-12-05","2020-09-06",549,"Public","FL"
"196","ANDREWS HIGH SCHOOL",1,"2020-11-21","2020-09-06",302,"Public","FL"
"197","ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS",2,"2020-11-21","2020-09-06",56,"Private","FL"
"198","ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS",2,"2020-12-05","2020-09-06",56,"Private","FL"
"199","ANNA MARIA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",251,"Public","FL"
"200","ANNA MARIA ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",251,"Public","FL"
"201","ANNABEL C. PERRY PK-8",0,"2020-10-24","2020-09-06",733,"Public","FL"
"202","ANNABEL C. PERRY PK-8",1,"2020-11-21","2020-09-06",733,"Public","FL"
"203","ANNABEL C. PERRY PK-8",4,"2020-12-05","2020-09-06",733,"Public","FL"
"204","ANNETTE P. EDWINS ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",465,"Public","FL"
"205","ANNETTE P. EDWINS ELEMENTARY SCHOOL",6,"2020-11-21","2020-09-06",465,"Public","FL"
"206","ANNETTE P. EDWINS ELEMENTARY SCHOOL",9,"2020-12-05","2020-09-06",465,"Public","FL"
"207","ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",846,"Public","FL"
"208","ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",846,"Public","FL"
"209","ANNIE R. MORGAN ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",360,"Public","FL"
"210","ANNIE R. MORGAN ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",360,"Public","FL"
"211","ANNIE R. MORGAN ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",360,"Public","FL"
